s.no,Area,Temperature( C),Humidity,Rainfall,Flooding,nBHK,Rent,Safety,Connectivity,Family,Bachelors,Latitude,Longitude,,,
1,Patancheruvu,25.7,38.75,23,1,2,11000,3,4,1,0,17.533,78.264,,,
2,Patancheruvu,25.7,38.75,23,1,1,6000,3,4,1,0,17.533,78.264,,,
3,Patancheruvu,25.7,38.75,23,1,4,26000,3,4,1,0,17.533,78.264,,,
4,Patancheruvu,25.7,38.75,23,1,1,5000,3,4,0,1,17.533,78.264,,,
5,Patancheruvu,25.7,38.75,23,1,1,7500,3,4,0,1,17.533,78.264,,,
6,Patancheruvu,25.7,38.75,23,1,2,8000,3,4,0,1,17.533,78.264,,,
7,Patancheruvu,25.7,38.75,23,1,2,15000,3,4,1,0,17.533,78.264,,,
8,Patancheruvu,25.7,38.75,23,1,4,40000,3,4,1,0,17.533,78.264,,,
9,Patancheruvu,25.7,38.75,23,1,2,12000,3,4,1,0,17.533,78.264,,,
10,Patancheruvu,25.7,38.75,23,1,3,25000,3,4,1,0,17.533,78.264,,,
11,Patancheruvu,25.7,38.75,23,1,1,4000,3,4,0,1,17.533,78.264,,,
12,Patancheruvu,25.7,38.75,23,1,3,32000,3,4,1,0,17.533,78.264,,,
13,Patancheruvu,25.7,38.75,23,1,1,8000,3,4,0,1,17.533,78.264,,,
14,Patancheruvu,25.7,38.75,23,1,2,14000,3,4,1,0,17.533,78.264,,,
15,Patancheruvu,25.7,38.75,23,1,2,10000,3,4,1,0,17.533,78.264,,,
16,Patancheruvu,25.7,38.75,23,1,2,16000,3,4,1,0,17.533,78.264,,,
17,Patancheruvu,25.7,38.75,23,1,2,8500,3,4,1,0,17.533,78.264,,,
18,Patancheruvu,25.7,38.75,23,1,3,20000,3,4,1,0,17.533,78.264,,,
19,Patancheruvu,25.7,38.75,23,1,3,32000,3,4,1,0,17.533,78.264,,,
20,Patancheruvu,25.7,38.75,23,1,2,12000,3,4,1,0,17.533,78.264,,,
21,Patancheruvu,25.7,38.75,23,1,2,17000,3,4,1,0,17.533,78.264,,,
22,Patancheruvu,25.7,38.75,23,1,2,13000,3,4,1,0,17.533,78.264,,,
23,Patancheruvu,25.7,38.75,23,1,2,24500,3,4,1,0,17.533,78.264,,,
24,Patancheruvu,25.7,38.75,23,1,2,19000,3,4,1,0,17.533,78.264,,,
25,Patancheruvu,25.7,38.75,23,1,2,12000,3,4,0,1,17.533,78.264,,,
26,Patancheruvu,25.7,38.75,23,1,4,25000,3,4,1,0,17.533,78.264,,,
27,Patancheruvu,25.7,38.75,23,1,2,12000,3,4,0,1,17.533,78.264,,,
28,Patancheruvu,25.7,38.75,23,1,2,12000,3,4,1,0,17.533,78.264,,,
29,Patancheruvu,25.7,38.75,23,1,2,12000,3,4,1,0,17.533,78.264,,,
30,Patancheruvu,25.7,38.75,23,1,1,5000,3,4,0,1,17.533,78.264,,,
31,Chandanagar,23.04,39.25,25,1,2,18000,4,4,1,0,17.493,78.328,,,
32,Chandanagar,23.04,39.25,25,1,2,18000,4,4,1,0,17.493,78.328,,,
33,Chandanagar,23.04,39.25,25,1,2,21000,4,4,1,0,17.493,78.328,,,
34,Chandanagar,23.04,39.25,25,1,2,30000,4,4,1,0,17.493,78.328,,,
35,Chandanagar,23.04,39.25,25,1,3,37000,4,4,1,0,17.493,78.328,,,
